,Transformer2_Features,TemplateDescription
44,"[907, 76, 77, 78, 75, 73, 82, 79, 80, 81, 69]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.The wind speed is very high and not in normal range.To prevent failure in brake control and pitch control, forced shutdown is recommended."
45,"[907, 75, 67, 68, 74, 66, 69, 70, 76, 71, 96]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.High and variable wind speed is affecting the stabilisation properties of the yaw brake.To prevent failure in brake control and pitch control, forced shutdown is recommended."
46,"[907, 74, 68, 98, 72, 99, 100, 82, 78, 90, 97]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.High and variable wind speed is affecting the stabilisation properties of the yaw brake.To prevent failure in brake control and pitch control, forced shutdown is recommended."
47,"[907, 95, 101, 80, 93, 77, 75, 88, 60, 78, 61]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.To prevent failure in brake control and pitch control, forced shutdown is recommended."
48,"[907, 101, 76, 75, 74, 77, 72, 71, 95, 78, 96]","The hydraulic pitch control mechanism is having anomaly.The wind vane measurements signal a high deviation in absolute wind direction.High rotational speed of the rotor is affecting spinning tension.Please check the upper shaft of the rotor sweep disk for high temperature.To prevent failure in brake control and pitch control, forced shutdown is recommended."
49,"[908, 0, 77, 76, 85, 52, 51, 9, 84, 95, 83]",Yaw error is greater than maximum permissible error for turbine operation.The wind vane measurements signal a high deviation in absolute wind direction.Please check the pitch angle controller for anomaly.A forced shutdown is recommended until the absolute wind direction returns to normal.
50,"[908, 0, 9, 10, 8, 2, 52, 4, 3, 96, 51]","Yaw error is greater than maximum permissible error for turbine operation.The generator converter speed is too high, affecting kinetic load.There is misaligment in pitch angle.Coordinated frequency control is recommended to achieve optimal pitch angle."
51,"[908, 85, 34, 84, 69, 72, 75, 39, 42, 76, 68]",Yaw error is greater than maximum permissible error for turbine operation.The outside temperature is not in ambient range.External temperature is directly causing yaw errors due to misalignment in calibration.Forced shutdown is recommended until temperature returns to normal.
52,"[908, 2, 52, 83, 0, 84, 85, 6, 7, 8, 9]",Yaw error is greater than maximum permissible error for turbine operation.Gearbox oil temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.A forced shutdown is recommended until the absolute wind direction returns to normal.
53,"[908, 34, 73, 74, 82, 47, 72, 48, 70, 36, 100]",Yaw error is greater than maximum permissible error for turbine operation.Generator bearing temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.High and variable wind speed is affecting the stabilisation properties of the yaw brake.Forced shutdown is recommended until temperature returns to normal.
54,"[908, 82, 85, 84, 54, 49, 83, 35, 78, 95, 86]",Yaw error is greater than maximum permissible error for turbine operation.The wind vane measurements signal a high deviation in absolute wind direction.External temperature is directly causing yaw errors due to misalignment in calibration.Forced shutdown is recommended until temperature returns to normal.
55,"[908, 86, 85, 87, 84, 88, 68, 37, 35, 52, 83]",Yaw error is greater than maximum permissible error for turbine operation.The control system for grid integration and frequency stability is disfunctional.External temperature is directly causing yaw errors due to misalignment in calibration.Coordinated frequency control is recommended to eliminate yaw error.
56,"[903, 78, 93, 68, 66, 76, 77, 52, 95, 94, 96]",Limit switch activated as pitch blade has reached fine limit.The wind vane measurements signal a high deviation in absolute wind direction.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.Fine tuning and repair of pitch controller is recommended.
57,"[903, 78, 93, 68, 76, 52, 77, 95, 94, 75, 96]",Limit switch activated as pitch blade has reached fine limit.The wind vane measurements signal a high deviation in absolute wind direction.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle.Fine tuning and repair of pitch controller is recommended.
58,"[908, 52, 85, 83, 84, 101, 0, 87, 53, 86, 79]",Yaw error is greater than maximum permissible error for turbine operation.The generator oil sump temperature is not in ambient range.External temperature is directly causing yaw errors due to misalignment in calibration.Generator oil replacement and check is recommended.
59,"[909, 74, 68, 73, 67, 72, 69, 66, 60, 93, 59]","The Energy Storage Power Conversion System (PCS) is having a fault.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
60,"[909, 68, 75, 76, 69, 77, 94, 66, 65, 67, 74]","The Energy Storage Power Conversion System (PCS) is having a fault.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
61,"[909, 68, 69, 75, 66, 76, 65, 67, 94, 70, 77]","The Energy Storage Power Conversion System (PCS) is having a fault.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
62,"[909, 68, 75, 69, 76, 66, 77, 65, 94, 67, 70]","The Energy Storage Power Conversion System (PCS) is having a fault.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
63,"[909, 68, 69, 75, 67, 66, 76, 65, 70, 74, 94]","The Energy Storage Power Conversion System (PCS) is having a fault.The wind speed is very high and not in normal range.Due to extreme variations in wind speed, the charging and discharging of PCS have been affected.Forced shutdown is recommended until wind speed returns to normal range."
64,"[910, 0, 83, 84, 82, 101, 85, 81, 78, 4, 77]",There is anomaly in the turbine exhaust pressure.The outside temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismPower performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
65,"[910, 0, 51, 52, 77, 53, 87, 85, 86, 76, 88]",There is anomaly in the turbine exhaust pressure.Gearbox oil temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.Power performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
66,"[910, 77, 75, 83, 57, 0, 68, 55, 84, 85, 86]",There is anomaly in the turbine exhaust pressure.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.Power performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
67,"[910, 77, 75, 62, 57, 83, 55, 76, 68, 101, 84]",There is anomaly in the turbine exhaust pressure.The wind vane measurements signal a high deviation in absolute wind direction.The outside temperature is not in ambient range.Ambient temperature changes are causing abnormal operation of the pitch controller.Power performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
68,"[910, 83, 63, 84, 0, 67, 33, 32, 64, 100, 31]",There is anomaly in the turbine exhaust pressure.The outside temperature is not in ambient range.The hub temperature is affecting the hydraulic pitch control mechanismPower performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
69,"[910, 36, 31, 32, 30, 54, 34, 33, 29, 67, 66]",There is anomaly in the turbine exhaust pressure.Faulty generator stator is affecting operation of the exhaust system.Generator bearing temperature is not in ambient range.Power performance and aerodynamics are affected by pitch angle misalignment.Checks and Maintenance of turbine exhaust valves is recommended.
70,"[910, 82, 51, 77, 0, 86, 4, 81, 10, 76, 75]",There is anomaly in the turbine exhaust pressure.The wind vane measurements signal a high deviation in absolute wind direction.Faulty generator stator is affecting operation of the exhaust system.Checking the ambient temperature of generator stator is recommended.Generator oil replacement and check is recommended.Checks and Maintenance of turbine exhaust valves is recommended.
71,"[910, 73, 67, 83, 65, 85, 84, 71, 63, 78, 75]",There is anomaly in the turbine exhaust pressure.The wind speed is very high and not in normal range.The outside temperature is not in ambient range.Variable wind speed is affecting operation of exhaust valves.Forced shutdown is recommended until wind speed returns to normal range.
72,"[912, 71, 69, 67, 68, 72, 78, 65, 73, 88, 52]",The wind speed and direction transducer controller is not able to drive the yaw motor against wind accurately.Extremely harsh environmental conditions and wind speed is affecting operation od the transducer. Checking and replacement of wind vane controller and forced shutdown is recommended.
73,"[912, 69, 71, 68, 67, 78, 72, 101, 89, 65, 73]",The wind speed and direction transducer controller is not able to drive the yaw motor against wind accurately.Extremely harsh environmental conditions and wind speed is affecting operation od the transducer. Checking and replacement of wind vane controller and forced shutdown is recommended.
74,"[912, 69, 71, 68, 67, 78, 72, 101, 89, 65, 73]",The wind speed and direction transducer controller is not able to drive the yaw motor against wind accurately.Extremely harsh environmental conditions and wind speed is affecting operation od the transducer. Checking and replacement of wind vane controller and forced shutdown is recommended.
75,"[912, 69, 71, 68, 67, 78, 72, 89, 73, 65, 85]",The wind speed and direction transducer controller is not able to drive the yaw motor against wind accurately.Extremely harsh environmental conditions and wind speed is affecting operation od the transducer. Checking and replacement of wind vane controller and forced shutdown is recommended.
76,"[912, 71, 68, 67, 69, 72, 78, 65, 88, 73, 85]",The wind speed and direction transducer controller is not able to drive the yaw motor against wind accurately.Extremely harsh environmental conditions and wind speed is affecting operation od the transducer. Checking and replacement of wind vane controller and forced shutdown is recommended.
77,"[914, 97, 100, 99, 98, 101, 93, 95, 96, 70, 85]",The yaw mechanism is oriented towards opposite directionHigh rotational speed of the rotor is affecting spinning tension.Rotor bearing temperature is not in ambient range.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.
78,"[914, 78, 37, 36, 82, 49, 75, 35, 88, 87, 90]",The yaw mechanism is oriented towards opposite directionThe wind vane measurements signal a high deviation in absolute wind direction.External temperature is directly causing yaw errors due to misalignment in calibration.A forced shutdown is recommended until the absolute wind direction returns to normal.
79,"[914, 97, 100, 99, 98, 93, 101, 85, 70, 52, 95]",The yaw mechanism is oriented towards opposite directionHigh rotational speed of the rotor is affecting spinning tension.Rotor bearing temperature is not in ambient range.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.
80,"[914, 83, 84, 0, 85, 86, 92, 91, 87, 90, 88]",The yaw mechanism is oriented towards opposite directionExternal temperature is directly causing yaw errors due to misalignment in calibration.There is misaligment in pitch angle.Ambient temperature changes are causing abnormal operation of the pitch controller.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.
81,"[914, 97, 100, 99, 98, 93, 85, 96, 95, 70, 94]",The yaw mechanism is oriented towards opposite directionHigh rotational speed of the rotor is affecting spinning tension.Rotor bearing temperature is not in ambient range.Please check the upper shaft of the rotor sweep disk for high temperature.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.
82,"[914, 78, 37, 36, 76, 75, 49, 35, 82, 88, 87]",The yaw mechanism is oriented towards opposite directionThe wind vane measurements signal a high deviation in absolute wind direction.External temperature is directly causing yaw errors due to misalignment in calibration.A forced shutdown is recommended until the absolute wind direction returns to normal.
83,"[915, 2, 0, 8, 3, 9, 4, 10, 53, 28, 41]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
84,"[915, 2, 8, 4, 3, 0, 7, 40, 6, 39, 41]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
85,"[915, 2, 8, 0, 9, 3, 4, 28, 101, 10, 27]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
86,"[915, 2, 8, 0, 3, 9, 4, 28, 10, 41, 27]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
87,"[915, 2, 4, 8, 3, 0, 6, 7, 40, 39, 9]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
88,"[915, 2, 8, 3, 0, 9, 4, 28, 10, 6, 41]","The gearbox oil transmission filter is clogged.Due to contamination in the filter elements, there is loss of pressure in the filter housing.Checking and maintenance of gearbox oil transmission filter for pressure levels is recommended. "
89,"[916, 95, 93, 94, 96, 92, 91, 74, 9, 70, 90]",There is Increased Phase Resistance (IPR) in the generator stator and rotor windings.High rotational speed of the rotor is affecting spinning tension.The grid voltage fluctaction is causing load changes.The IPR fault is causing failure of the Double Fed Induction Generation (DFIG).Inspection of end windings and partial or complete rewinds is recommended. 
90,"[916, 95, 94, 96, 93, 10, 74, 6, 8, 70, 71]",There is Increased Phase Resistance (IPR) in the generator stator and rotor windings.High rotational speed of the rotor is affecting spinning tension.The IPR fault is causing failure of the Double Fed Induction Generation (DFIG).Inspection of end windings and partial or complete rewinds is recommended. 
91,"[917, 73, 71, 78, 89, 67, 98, 52, 99, 100, 51]",The turbine power performance is derated.The wind speed is very high and not in normal range.The wind vane measurements signal a high deviation in absolute wind direction.Forced shutdown is recommended until wind speed returns to normal range.A forced shutdown is recommended until the absolute wind direction returns to normal.
92,"[917, 67, 68, 60, 59, 62, 93, 61, 98, 63, 50]","The turbine power performance is derated.Ice accumulated on blades has been  detected and the WTGS is allowed to operate although the power performance isderatedThe wind speed is very high and not in normal range.The nacelle temperature is not in ambient range.Due to low temperature, turbine blades may be frozen.Forced shutdown is recommended until weather conditions become normal."
93,"[917, 84, 83, 72, 85, 68, 36, 34, 69, 49, 94]",The turbine power performance is derated.Ice accumulated on blades has been  detected and the WTGS is allowed to operate although the power performance isderatedThe outside temperature is not in ambient range.The wind speed is very high and not in normal range.Forced shutdown is recommended until weather conditions become normal.
94,"[917, 72, 49, 48, 47, 63, 50, 83, 84, 93, 85]",The turbine power performance is derated.There is WTGS deterioration occuring at present.The wind speed is very high and not in normal range.The generator inlet temperature is not in ambient range.Repair and maintenance of nozzles in the generator inlet is recommended.
95,"[917, 4, 51, 52, 50, 92, 82, 93, 78, 91, 94]",The turbine power performance is derated.There is WTGS deterioration occuring at present.Hub temperature is not in ambient range.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.
96,"[917, 52, 66, 67, 51, 82, 74, 73, 65, 80, 69]",The turbine power performance is derated.There is WTGS deterioration occuring at present.The wind speed is very high and not in normal range.The generator oil sump temperature is not in ambient range.Generator oil replacement and check is recommended.
97,"[917, 35, 73, 96, 93, 37, 71, 69, 67, 98, 92]",The turbine power performance is derated.There is WTGS deterioration occuring at present.Generator stator temperature is not in ambient range.Checking the ambient temperature of generator stator is recommended.High rotational speed of the rotor is affecting spinning tension.It is suggested to use lubricants and coolants for avoiding complete failure of the rotor and yaw mechanism.Variable wind speed is affecting operation of exhaust valves.Repair and maintenance of nozzles in the generator inlet is recommended.
98,"[917, 0, 86, 3, 85, 83, 60, 84, 95, 67, 94]","The turbine power performance is derated.Grid constraint, actual energy productionless than potential energy production.There is misaligment in pitch angle.The control system for grid integration and frequency stability is disfunctional.Coordinated frequency control is recommended to achieve optimal pitch angle."
99,"[917, 49, 84, 48, 83, 85, 82, 47, 37, 35, 42]",The turbine power performance is derated.There is WTGS deterioration occuring at present.The generator inlet temperature is not in ambient range.The outside temperature is not in ambient range.Repair and maintenance of nozzles in the generator inlet is recommended.Forced shutdown is recommended until weather conditions become normal.
100,"[917, 0, 96, 12, 43, 10, 69, 71, 38, 70, 72]",The turbine power performance is derated.There is misaligment in pitch angle.High rotational speed of the rotor is affecting spinning tension.Power performance and aerodynamics are affected by pitch angle misalignment.Coordinated frequency control is recommended to achieve optimal pitch angle.
